feature_idx,idx,mlx_val,cpu_val,abs_diff,ulp_diff
2,28,-0.748785317,-0.775066376,2.628106e-02,440923
2,29,-0.724406004,-0.748785317,2.437931e-02,409017
2,30,-0.700266719,-0.724406004,2.413928e-02,404990
2,31,-0.673885703,-0.700266719,2.638102e-02,442600
2,32,-0.650234759,-0.673885703,2.365094e-02,396797
2,33,-0.626741886,-0.650234759,2.349287e-02,394145
2,34,-0.601334453,-0.626741886,2.540743e-02,426266
2,35,-0.577888787,-0.601334453,2.344567e-02,393353
2,36,-0.554352403,-0.577888787,2.353638e-02,394875
2,37,-0.532601476,-0.554352403,2.175093e-02,364920
2,38,-0.51124686,-0.532601476,2.135462e-02,358271
2,39,-0.488336742,-0.51124686,2.291012e-02,580045
2,40,-0.466572315,-0.488336742,2.176443e-02,730293
2,41,-0.446528673,-0.466572314,2.004364e-02,672553
2,42,-0.425569892,-0.446528673,2.095878e-02,703260
2,43,-0.403915524,-0.425569892,2.165437e-02,726600
2,44,-0.383264184,-0.403915525,2.065134e-02,692944
2,45,-0.360976338,-0.383264184,2.228785e-02,747856
2,46,-0.339653343,-0.360976338,2.132300e-02,715481
2,47,-0.317951113,-0.339653343,2.170223e-02,728206
2,48,-0.297361553,-0.317951113,2.058956e-02,690871
2,49,-0.278238177,-0.297361553,1.912338e-02,641674
2,50,-0.257378757,-0.278238177,2.085942e-02,699926
2,51,-0.236791521,-0.257378757,2.058724e-02,1133996
2,52,-0.216499791,-0.236791521,2.029173e-02,1361755
2,53,-0.196388796,-0.216499791,2.011099e-02,1349626
2,54,-0.178351045,-0.196388796,1.803775e-02,1210493
2,55,-0.158285081,-0.178351045,2.006596e-02,1346604
2,56,-0.137819916,-0.158285081,2.046517e-02,1373394
2,57,-0.117973834,-0.137819916,1.984608e-02,1803366
2,58,-0.098465398,-0.117973834,1.950844e-02,2618378
2,59,-0.0796149522,-0.098465398,1.885045e-02,2530064
2,60,-0.0593827963,-0.0796149522,2.023216e-02,3133898
2,61,-0.0400692895,-0.0593827963,1.931351e-02,5184430
2,62,-0.021326419,-0.0400692895,1.874287e-02,7695092
2,63,-0.00192512537,-0.021326419,1.940129e-02,28467265
2,64,0.0175907128,-0.00192512537,1.951584e-02,2289275165
2,65,0.0361752436,0.0175907128,1.858453e-02,8655384
2,66,0.056516245,0.0361752436,2.034100e-02,5460246
2,67,0.0764199346,0.056516245,1.990369e-02,3474554
2,68,0.0944637582,0.0764199346,1.804382e-02,2421801
2,69,0.114224732,0.0944637582,1.976097e-02,2652273
2,70,0.133759126,0.114224732,1.953439e-02,2034047
2,71,0.154527143,0.133759126,2.076802e-02,1393718
2,72,0.175473034,0.154527143,2.094589e-02,1405655
2,73,0.194270074,0.175473034,1.879704e-02,1261448
2,74,0.213463634,0.194270074,1.919356e-02,1288058
2,75,0.232305244,0.213463634,1.884161e-02,1264439
2,76,0.252511084,0.232305244,2.020584e-02,1271733
2,77,0.273452461,0.252511084,2.094138e-02,702676
2,78,0.293007076,0.273452461,1.955462e-02,656144
2,79,0.315588117,0.293007076,2.258104e-02,757694
2,80,0.335648,0.315588117,2.005988e-02,673098
2,81,0.357264876,0.335648,2.161688e-02,725342
2,82,0.378765702,0.357264876,2.150083e-02,721448
2,83,0.398640931,0.378765702,1.987523e-02,666902
2,84,0.418472528,0.398640931,1.983160e-02,665438
2,85,0.439005792,0.418472528,2.053326e-02,688982
2,86,0.460398585,0.439005792,2.139279e-02,717823
2,87,0.481833994,0.460398585,2.143541e-02,719253
2,88,0.505550742,0.481833994,2.371675e-02,702676
2,89,0.525815487,0.505550742,2.026474e-02,339986
2,90,0.548710406,0.525815487,2.289492e-02,384113
2,91,0.570790529,0.548710406,2.208012e-02,370443
2,92,0.5952757,0.570790529,2.448517e-02,410793
2,93,0.618042529,0.5952757,2.276683e-02,381964
2,94,0.641730428,0.618042529,2.368790e-02,397417
2,95,0.663395405,0.641730428,2.166498e-02,363478
2,96,0.690210998,0.663395405,2.681559e-02,449891
2,97,0.715016842,0.690210998,2.480584e-02,416173
2,98,0.738930106,0.715016842,2.391326e-02,401198
2,99,0.764890075,0.738930106,2.595997e-02,435536
2,100,0.790710628,0.764890075,2.582055e-02,433197
2,101,0.819006264,0.790710628,2.829564e-02,474722
2,102,0.847571731,0.819006264,2.856547e-02,479249
2,103,0.872724652,0.847571731,2.515292e-02,421996
2,104,0.898833394,0.872724652,2.610874e-02,438032
2,105,0.928730547,0.898833394,2.989715e-02,501591
2,106,0.96021986,0.928730547,3.148931e-02,528303
2,107,0.995227575,0.96021986,3.500771e-02,587332
2,108,1.02714014,0.995227575,3.191256e-02,307736
2,109,1.06088483,1.02714014,3.374469e-02,283071
2,110,1.09583151,1.06088483,3.494668e-02,293154
