featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,54,0,9649.706055,87.44673157,21484,1953,0,4337.54501822547,4336.93396291842,4337.54501822547,4336.93396291842,0.000000e+00,0.000000e+00
0,54,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,55,0,9674.618164,62.53440094,21875,1562,0,4280.68856286985,4280.09713020468,4280.68856286985,4280.09713020468,0.000000e+00,0.000000e+00
0,55,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,56,0,9701.783203,35.36865616,22265,1172,0,4227.96409787057,4227.39192131908,4227.96409787058,4227.39192131908,9.094947e-13,-9.094947e-13
0,56,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,57,0,9722.560547,14.59177399,22656,781,0,4172.04366265289,4171.49029031469,4172.04366265289,4171.49029031469,0.000000e+00,0.000000e+00
0,57,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,58,0,9736.787109,0.3652043343,23046,391,0,4113.19497660125,4112.65961093144,4113.19497660125,4112.65961093144,0.000000e+00,0.000000e+00
0,58,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,59,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,59,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,60,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,60,1,8.408203125,-9745.830078,390,26173,0,3628.74055570921,3628.32331749115,3628.74055570921,3628.32331749115,0.000000e+00,0.000000e+00
0,61,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,61,1,8.223632812,-9745.645508,781,25782,0,3683.5303698973,3683.10148320391,3683.5303698973,3683.10148320391,0.000000e+00,4.547474e-13
0,62,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,62,1,8.501953125,-9745.923828,1172,25391,0,3740.43449012095,3739.99245233807,3740.43449012094,3739.99245233807,-4.547474e-13,0.000000e+00
0,63,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,63,1,9.090820312,-9746.512695,1563,25000,0,3799.37724317583,3798.92127784485,3799.37724317583,3798.92127784484,-4.547474e-13,-4.547474e-13
0,64,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,64,1,4.276367188,-9741.698242,1953,24610,0,3855.72318519628,3855.25321020562,3855.72318519628,3855.25321020562,0.000000e+00,0.000000e+00
0,65,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,65,1,-9.123046875,-9728.298828,2344,24219,0,3907.21893554537,3906.73496855768,3907.21893554537,3906.73496855768,0.000000e+00,0.000000e+00
0,66,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,66,1,-22.54003906,-9714.881836,2734,23829,0,3960.36223906992,3959.86352395054,3960.36223906992,3959.86352395054,0.000000e+00,0.000000e+00
0,67,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
0,67,1,-40.48144531,-9696.94043,3125,23438,0,4011.89942188853,4011.38554002788,4011.89942188853,4011.38554002788,0.000000e+00,-4.547474e-13
0,68,0,9737.152344,0,23437,0,1,0,0,4044.88633811417,4044.36864788318,4.044886e+03,4.044369e+03
