feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
1,12,2664.3740234375,-2664.37451171875,5077,44923,3,1555.43207092714,1554.59627188705,39.4495667823951
1,13,2830.14233398438,-2830.14282226562,5468,44532,3,1643.8815336007,1643.06662379094,40.5548621940737
1,14,2966.35498046875,-2966.35546875,5858,44142,3,1700.65074423154,1699.86873349986,41.2484316637719
1,15,3110.16650390625,-3110.1669921875,6249,43751,3,1768.28670355637,1767.52912356942,42.0600119858446
1,16,3247.89526367188,-3247.89575195312,6639,43361,3,1831.4621962548,1830.72802280592,42.8041664342141
1,17,3381.63061523438,-3381.63110351562,7029,42971,3,1892.2992880849,1891.58694110363,43.5087566281405
1,18,3495.90942382812,-3495.90991210938,7420,42580,3,1933.42247744921,1932.73685818767,43.978498609291
1,19,3630.69458007812,-3630.69506835938,7813,42187,3,1998.97559749338,1998.30604195715,44.7173945727157
1,20,3764.2431640625,-3764.24365234375,8203,41797,3,2065.71156720011,2065.05597050382,45.4573137353029
1,21,3877.0029296875,-3877.00341796875,8596,41404,3,2111.02160678154,2110.38546375629,45.952779475917
1,22,3991.1357421875,-3991.13623046875,8986,41014,3,2160.4283124338,2159.80849412061,46.4870767915283
1,23,4092.4775390625,-4092.47802734375,9378,40622,3,2197.61815942268,2197.01676830419,46.8851758571985
1,24,4196.572265625,-4196.57275390625,9768,40232,3,2240.10579536705,2239.51976722967,47.335948040087
1,25,4282.19384765625,-4282.1943359375,10159,39841,3,2264.71032995496,2264.14296223947,47.594935023027
1,26,4381.322265625,-4381.32275390625,10549,39451,3,2305.72076859942,2305.16656878172,48.0236931280366
1,27,4471.56591796875,-4471.56640625,10940,39060,3,2339.04953484435,2338.50930500499,48.3693073082993
1,28,4537.1572265625,-4537.15771484375,11330,38670,3,2348.75135792372,2348.22922683244,48.4693058038937
1,29,4611.2470703125,-4611.24755859375,11721,38279,3,2369.12782810013,2368.62020558396,48.6789026109427
1,30,4699.484375,-4699.48486328125,12111,37889,3,2405.95477952561,2405.45714596993,49.0556063669606
1,31,4785.66064453125,-4785.6611328125,12502,37498,3,2442.18968279928,2441.70144928068,49.4234561108713
1,32,4856.2685546875,-4856.26904296875,12892,37108,3,2464.35645638851,2463.87960028172,49.647088583173
1,33,4939.73876953125,-4939.7392578125,13282,36718,3,2501.23240228071,2500.76334590156,50.0170125721095
1,34,5016.53564453125,-5016.5361328125,13672,36328,3,2532.94207210326,2532.48116040792,50.332922304239
1,35,5108.02978515625,-5108.0302734375,14063,35937,3,2580.95418893224,2580.49796115124,50.8075830695927
1,36,5185.4326171875,-5185.43310546875,14453,35547,3,2616.4014783147,2615.951643376,51.1551697348989
1,37,5260.224609375,-5260.22509765625,14844,35156,3,2650.66897673254,2650.22524924551,51.4889578309068
1,38,5331.1767578125,-5331.17724609375,15235,34765,3,2682.62907087859,2682.19132787771,51.7983289819339
1,39,5395.7138671875,-5395.71435546875,15626,34374,3,2709.69742137251,2709.26594838134,52.0588989806672
1,40,5462.34912109375,-5462.349609375,16016,33984,3,2740.5189974652,2740.09267946254,52.3540388298426
1,41,5523.95849609375,-5523.958984375,16408,33592,3,2767.66336164486,2767.24235129754,52.6125881899475
1,42,5572.88623046875,-5572.88671875,16798,33202,3,2783.83749464839,2783.42291712265,52.766013056924
1,43,5629.93310546875,-5629.93359375,17189,32811,3,2809.59056266818,2809.18053508306,53.0094392547296
1,44,5687.6826171875,-5687.68310546875,17580,32420,3,2837.57061685775,2837.16438839429,53.2726656314988
1,45,5740.75,-5740.75048828125,17972,32028,3,2862.33206393519,2861.92969981136,53.5045277021314
1,46,5785.4208984375,-5785.42138671875,18362,31638,3,2880.38758352245,2879.98956496128,53.6729508886025
1,47,5830.625,-5830.62548828125,18753,31247,3,2900.42819953883,2900.03384800423,53.8592852226801
1,48,5879.69287109375,-5879.693359375,19143,30857,3,2925.88633074143,2925.49450099021,54.0950849243521
1,49,5904.42578125,-5904.42626953125,19533,30467,3,2928.66285890201,2928.27617422272,54.1206946984588
1,50,5935.6865234375,-5935.68701171875,19923,30077,3,2939.45015936515,2939.06713284256,54.2202290275936
1,51,5962.94189453125,-5962.9423828125,20314,29686,3,2947.73304447503,2947.35360780329,54.2965241060118
1,52,5995.85009765625,-5995.8505859375,20704,29296,3,2963.15041473401,2962.77324861276,54.4382919356325
1,53,5994.97802734375,-5994.978515625,21095,28905,3,2946.71411696499,2946.34287380014,54.2870648212535
1,54,6009.69091796875,-6009.69140625,21485,28515,3,2947.21188569222,2946.84400314594,54.2916182680602
1,55,6022.0166015625,-6022.01708984375,21876,28124,3,2946.83054469907,2946.46575282335,54.2880777126842
1,56,6036.10595703125,-6036.1064453125,22266,27734,3,2949.68510733549,2949.32262172365,54.3143409929506
1,57,6066.16650390625,-6066.1669921875,22657,27343,3,2969.59406464158,2969.23144294943,54.4973093888076
1,58,6097.39111328125,-6097.3916015625,23047,26953,3,2992.15355969709,2991.79013656176,54.7039032152065
1,59,6084.15380859375,-6084.154296875,23438,26562,3,2972.60061456155,2972.24115035436,54.5248578378936
1,60,6095.6220703125,-6095.62255859375,23828,26172,3,2978.71709838139,2978.35812118333,54.5809135032243
1,61,6106.50634765625,-6106.5068359375,24219,25781,3,2985.70904401325,2985.35010215908,54.644926837032
1,62,6107.69140625,-6107.69189453125,24609,25391,3,2984.68361260088,2984.32531834257,54.6355374264363
1,63,6093.63818359375,-6093.638671875,25000,25000,3,2970.23791448715,2969.88152870371,54.503159018876
1,64,6088.66796875,-6088.66845703125,25390,24610,3,2966.11626573587,2965.76020127052,54.4653318446675
1,65,6088.81640625,-6088.81689453125,25780,24220,3,2968.42809214796,2968.07122958972,54.4865579534361
1,66,6085.66943359375,-6085.669921875,26170,23830,3,2968.97575737693,2968.61795950618,54.4915919970401
1,67,6076.64892578125,-6076.6494140625,26561,23439,3,2965.25681329246,2964.89824071963,54.4574644032458
